,Test,=,==,===,====,=====,======,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
3,fold_3,0.9631,0.9817,0.9631,0.9281,0.965,0.9631,,,,,,,,,,,,,,
4,fold_4,0.9653,0.9814,0.9653,0.9327,0.9674,0.9653,,,,,,,,,,,,,,
5,fold_5,0.9638,0.9806,0.9638,0.9295,0.9656,0.9638,,,,,,,,,,,,,,
6,fold_6,0.9637,0.9808,0.9637,0.9293,0.9656,0.9637,,,,,,,,,,,,,,
7,fold_7,0.9653,0.9823,0.9652,0.9323,0.967,0.9653,,,,,,,,,,,,,,
8,fold_8,0.9646,0.9824,0.9645,0.9308,0.9663,0.9646,,,,,,,,,,,,,,
9,fold_9,0.9646,0.9825,0.9645,0.9308,0.9662,0.9646,,,,,,,,,,,,,,
10,fold_10,0.9638,0.9808,0.9637,0.9297,0.966,0.9638,,,,,,,,,,,,,,
11,mean,0.9644,0.9816,0.9643,0.9306,0.9662,0.9644,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.000825227,0.000884182,0.00082084,0.001572719,0.000751591,0.000825227,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,Hela,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9677,0.9804,0.9677,0.9371,0.9695,0.9677,,,,,,,,,,,,,,
2,fold_2,0.9677,0.9796,0.9677,0.9373,0.9696,0.9677,,,,,,,,,,,,,,
3,fold_3,0.9632,0.976,0.9631,0.9288,0.9656,0.9632,,,,,,,,,,,,,,
4,fold_4,0.9656,0.9793,0.9655,0.9333,0.9677,0.9656,,,,,,,,,,,,,,
5,fold_5,0.9687,0.9805,0.9687,0.9392,0.9704,0.9687,,,,,,,,,,,,,,
6,fold_6,0.9666,0.9809,0.9666,0.9351,0.9685,0.9666,,,,,,,,,,,,,,
7,fold_7,0.9665,0.9802,0.9664,0.9351,0.9686,0.9665,,,,,,,,,,,,,,
8,fold_8,0.9657,0.9763,0.9657,0.9336,0.9679,0.9657,,,,,,,,,,,,,,
9,fold_9,0.9672,0.9799,0.9672,0.9364,0.9692,0.9672,,,,,,,,,,,,,,
10,fold_10,0.961,0.9742,0.961,0.9249,0.9639,0.961,,,,,,,,,,,,,,
11,mean,0.966,0.9787,0.966,0.9341,0.9681,0.966,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.002314423,0.002336213,0.002327708,0.004296717,0.001977906,0.002314423,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9659,0.9759,0.9658,0.9339,0.968,0.9659,,,,,,,,,,,,,,
2,fold_2,0.9602,0.9708,0.9601,0.9232,0.963,0.9602,,,,,,,,,,,,,,
3,fold_3,0.965,0.9717,0.9649,0.9321,0.9672,0.965,,,,,,,,,,,,,,
4,fold_4,0.9669,0.9778,0.9669,0.9359,0.969,0.9669,,,,,,,,,,,,,,
5,fold_5,0.9666,0.9747,0.9665,0.9352,0.9687,0.9666,,,,,,,,,,,,,,
6,fold_6,0.9646,0.9711,0.9646,0.9316,0.967,0.9646,,,,,,,,,,,,,,
7,fold_7,0.9648,0.9746,0.9647,0.9318,0.967,0.9648,,,,,,,,,,,,,,
8,fold_8,0.9657,0.974,0.9656,0.9335,0.9678,0.9657,,,,,,,,,,,,,,
9,fold_9,0.9641,0.9711,0.964,0.9304,0.9663,0.9641,,,,,,,,,,,,,,
10,fold_10,0.9655,0.9744,0.9655,0.9332,0.9677,0.9655,,,,,,,,,,,,,,
11,mean,0.9649,0.9736,0.9649,0.9321,0.9672,0.9649,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.00187738,0.002354405,0.001891031,0.003541751,0.001675344,0.00187738,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,MOLM13,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9658,0.985,0.9658,0.9332,0.9673,0.9658,,,,,,,,,,,,,,
2,fold_2,0.9667,0.9848,0.9666,0.9349,0.9683,0.9667,,,,,,,,,,,,,,
3,fold_3,0.9653,0.9851,0.9652,0.932,0.9668,0.9653,,,,,,,,,,,,,,
4,fold_4,0.9655,0.9857,0.9655,0.9326,0.9671,0.9655,,,,,,,,,,,,,,
5,fold_5,0.9636,0.9837,0.9635,0.9287,0.9651,0.9636,,,,,,,,,,,,,,
6,fold_6,0.9665,0.9854,0.9665,0.9347,0.9682,0.9665,,,,,,,,,,,,,,
7,fold_7,0.9671,0.9864,0.9671,0.9356,0.9685,0.9671,,,,,,,,,,,,,,
8,fold_8,0.9676,0.9826,0.9676,0.9368,0.9692,0.9676,,,,,,,,,,,,,,
9,fold_9,0.9654,0.9862,0.9654,0.9324,0.967,0.9654,,,,,,,,,,,,,,
10,fold_10,0.963,0.9855,0.963,0.9275,0.9645,0.963,,,,,,,,,,,,,,
11,mean,0.9656,0.985,0.9656,0.9328,0.9672,0.9656,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.001460023,0.001144261,0.001471054,0.002939085,0.001483989,0.001460023,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
