,Test,=,==,===,====,=====,======,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,
1,fold_1,0.9649,0.9822,0.9648,0.931,0.9662,0.9649,,,,,,,,,,,,,,
2,fold_2,0.9634,0.98,0.9634,0.9286,0.9652,0.9634,,,,,,,,,,,,,,
3,fold_3,0.9636,0.9812,0.9636,0.929,0.9654,0.9636,,,,,,,,,,,,,,
4,fold_4,0.9649,0.9811,0.9649,0.9317,0.9667,0.9649,,,,,,,,,,,,,,
5,fold_5,0.9631,0.9808,0.9631,0.928,0.9649,0.9631,,,,,,,,,,,,,,
6,fold_6,0.9635,0.9802,0.9635,0.9288,0.9653,0.9635,,,,,,,,,,,,,,
7,fold_7,0.9644,0.9821,0.9643,0.9301,0.9657,0.9644,,,,,,,,,,,,,,
8,fold_8,0.9635,0.982,0.9635,0.9285,0.965,0.9635,,,,,,,,,,,,,,
9,fold_9,0.9647,0.9825,0.9646,0.9309,0.9662,0.9647,,,,,,,,,,,,,,
10,fold_10,0.9626,0.9795,0.9626,0.9271,0.9645,0.9626,,,,,,,,,,,,,,
11,mean,0.9639,0.9812,0.9638,0.9294,0.9655,0.9639,,,,,,,,,,,,,,
12, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,
13,mean_std,0.00080719,0.001034086,0.000774668,0.001483277,0.000683862,0.00080719,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,
0,Hela,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,
1,fold_1,0.9668,0.9803,0.9668,0.9351,0.9683,0.9668,,,,,,,,,,,,,,
2,fold_2,0.9674,0.9796,0.9673,0.9366,0.9692,0.9674,,,,,,,,,,,,,,
3,fold_3,0.9625,0.9744,0.9625,0.9275,0.9649,0.9625,,,,,,,,,,,,,,
4,fold_4,0.9648,0.9779,0.9648,0.9316,0.9668,0.9648,,,,,,,,,,,,,,
5,fold_5,0.9687,0.9797,0.9687,0.9391,0.9704,0.9687,,,,,,,,,,,,,,
6,fold_6,0.9677,0.9806,0.9677,0.9373,0.9696,0.9677,,,,,,,,,,,,,,
7,fold_7,0.9648,0.9775,0.9648,0.9314,0.9666,0.9648,,,,,,,,,,,,,,
8,fold_8,0.9647,0.9768,0.9646,0.9313,0.9667,0.9647,,,,,,,,,,,,,,
9,fold_9,0.9669,0.9799,0.9669,0.9357,0.9688,0.9669,,,,,,,,,,,,,,
10,fold_10,0.9604,0.9739,0.9604,0.9235,0.9631,0.9604,,,,,,,,,,,,,,
