0,pos_or_neg,attention_score
293,pos,2.1941344117427746
294,pos,1.5488313675699072
295,pos,1.038622705084158
296,pos,1.4245950522249549
297,pos,1.4862029184776593
298,pos,4.685359311903396
299,pos,5.355597296502531
300,pos,0.4073547747372309
301,pos,0.4455662959508931
302,pos,0.4918722785551223
303,pos,9.073994390484764
304,pos,19.66864552947019
305,pos,17.648141496489202
306,pos,0.1667964235288886
307,pos,22.62389561595827
308,pos,1.8632889210390364
309,pos,1.5007861458310268
310,pos,0.0953294543598634
311,pos,0.1095078090760417
312,pos,0.393242415275455
313,pos,0.3786762669962656
314,pos,0.3779858426471066
315,pos,12.841556515786948
316,pos,0.4572015924367871
317,pos,0.4673960014356194
318,pos,0.1820800001108337
319,pos,0.4739556455893851
320,pos,3.123101164639844
321,pos,1.236296166113116
322,pos,0.4989995872904736
323,pos,1.4549187057068556
324,pos,9.096547053763416
325,pos,1.659809325147814
326,pos,5.352322881420454
327,pos,3.318076871517228
328,pos,2.51212219927248
329,pos,2.5685486202014656
330,pos,3.008017894562061
331,pos,0.2183939826228027
332,pos,0.2995161704503272
333,pos,0.439648945319913
334,pos,1.5477748932241182
335,pos,0.3889456483141739
336,pos,0.5480238254943
337,pos,17.950331267419962
338,pos,19.172574771280456
339,pos,0.4198863673614474
340,pos,1.035620766214845
341,pos,0.7395770404548422
342,pos,0.9650209937547524
343,pos,0.8135847293022201
344,pos,0.7434025552593232
345,pos,0.2498879558804286
346,pos,0.1738973690444845
347,pos,0.3341937913252722
348,pos,0.3158516573295664
349,pos,0.289954020588742
350,pos,1.927183741018388
351,pos,5.724071148722395
352,pos,1.4792811346989942
353,pos,0.8259074177547562
354,pos,6.401413860181876
355,pos,0.3415038571617286
356,pos,5.573780101731541
357,pos,4.588360748276478
358,pos,4.613648438296183
359,pos,4.446754909718666
360,pos,0.9618396689070434
361,pos,1.1391664665888963
362,pos,1.1072577912421004
363,pos,1.1965758416127807
364,pos,0.6201289612156287
365,pos,0.5051882514480229
366,pos,17.570553403120577
367,pos,0.6656596575280637
368,pos,0.2022138589707286
369,pos,0.3355864994322532
370,pos,0.4055754102698368
371,pos,0.4165501820256676
372,pos,0.4715880166125915
373,pos,0.6883712606580277
374,pos,17.836936871801328
375,pos,2.8959684630447047
376,pos,2.210498144622983
377,pos,1.755871541222663
378,pos,1.356133872007088
379,pos,1.0809003854382448
380,pos,1.0963290119619389
381,pos,1.0522856163163858
382,pos,0.3785009360569339
383,pos,0.3276450197946856
384,pos,0.3841974127023079
385,pos,15.635514309879664
386,pos,4.565216630424668
387,pos,2.403286751359701
388,pos,1.279130091936123
389,pos,0.9593097954927906
390,pos,0.5678412605766056
391,pos,0.5051244276469741
392,pos,0.3086523716981575
393,pos,0.7059071612415638
394,pos,3.7187870959107703
395,pos,0.2593672073851302
396,pos,0.9580272711752876
397,pos,1.6701209286939565
398,pos,4.5824558951142365
399,pos,0.6827466397137358
400,pos,0.7738332098493792
401,pos,0.9410077852208348
402,pos,0.1000799641403089
403,pos,0.2878814460085023
404,pos,0.435892436975174
405,pos,1.5144451362330738
406,pos,1.6882576922908787
407,pos,0.3963748035229348
408,pos,1.1831548399996104
409,pos,1.2850828552088602
410,pos,1.8979213431447264
411,pos,3.319723130302216
412,pos,5.822016591039615
413,pos,3.965783919533336
414,pos,1.131942170687262
415,pos,1.0524090931266243
416,pos,7.034365408788852
417,pos,0.4081480290240994
418,pos,6.129680822292963
419,pos,6.236935260031766
420,pos,0.557602841285913
421,pos,5.40422443149051
422,pos,1.3184994220642785
423,pos,0.6529280698169174
424,pos,0.533119949504612
425,pos,0.9703436230377452
426,pos,0.212427486542033
427,pos,19.78177854285397
428,pos,0.8209371949712617
429,pos,0.9824015550330524
430,pos,0.5092953349751368
431,pos,0.435984983938042
432,pos,0.1801892495581623
433,pos,1.1162424641774922
434,pos,1.0741232190190293
435,pos,1.8119065516923625
436,pos,1.991431130194749
437,pos,0.141613598727447
438,pos,0.7024704200420074
439,pos,0.5821911118379454
440,pos,2.9321240427775117
441,pos,4.347654825788204
442,pos,0.2436163211033142
443,pos,0.2066495370950807
444,pos,0.6848844903051793
445,pos,0.8483818735987917
446,pos,1.211166491436704
447,pos,2.419616927854656
448,pos,0.5367454274830114
449,pos,0.557510340132001
450,pos,0.3783279144000716
451,pos,0.3317129577706924
452,pos,0.32064861294291
453,pos,0.2332725842309191
