,Test,=,==,===,====,=====,======,,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,PABPC4_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.724602402,0.625124325,0.448847028,0.3002878,0.60988526,0.355087359,,,,,,,,,,,,,,,,
2,fold_2,0.728497241,0.635731316,0.471739817,0.316850677,0.612797375,0.383470226,,,,,,,,,,,,,,,,
3,fold_3,0.731256086,0.630019204,0.454904542,0.31686653,0.633944954,0.354722793,,,,,,,,,,,,,,,,
4,fold_4,0.730606946,0.627217278,0.448138298,0.313629554,0.636449481,0.345818368,,,,,,,,,,,,,,,,
5,fold_5,0.728821811,0.648812572,0.501342883,0.329879716,0.598290598,0.431432974,,,,,,,,,,,,,,,,
6,mean,0.728756897,0.633380939,0.464994514,0.315502855,0.618273534,0.374106344,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.002598081,0.009501621,0.022435373,0.010551985,0.016398381,0.035041683,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,PPIG_HepG2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.764199551,0.696151173,0.580728605,0.43358035,0.693079496,0.499721758,,,,,,,,,,,,,,,,
2,fold_2,0.730314603,0.635212381,0.466354804,0.33135477,0.660550459,0.360400445,,,,,,,,,,,,,,,,
3,fold_3,0.762865976,0.710480911,0.606517803,0.441765238,0.66249176,0.559265442,,,,,,,,,,,,,,,,
4,fold_4,0.756258714,0.709869036,0.60697879,0.432390142,0.641528926,0.575959933,,,,,,,,,,,,,,,,
5,fold_5,0.762381039,0.705718771,0.598607413,0.437213636,0.668267032,0.542099407,,,,,,,,,,,,,,,,
6,mean,0.755203976,0.691486454,0.571837483,0.415260827,0.665183535,0.507489397,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.01424544,0.031975766,0.059916427,0.04704693,0.018546861,0.086980345,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,PUM2_K562,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.892953201,0.872403486,0.836840667,0.758378093,0.867422096,0.808342133,,,,,,,,,,,,,,,,
2,fold_2,0.892056661,0.882805864,0.843229167,0.761079149,0.83281893,0.853902954,,,,,,,,,,,,,,,,
3,fold_3,0.897435897,0.8858578,0.849235635,0.771518523,0.848788198,0.849683544,,,,,,,,,,,,,,,,
4,fold_4,0.882374036,0.859613728,0.820076796,0.734209632,0.854285714,0.78850211,,,,,,,,,,,,,,,,
5,fold_5,0.899946208,0.884622646,0.850321888,0.775436277,0.864231189,0.836853221,,,,,,,,,,,,,,,,
6,mean,0.892953201,0.877060705,0.839940831,0.760124335,0.853509225,0.827456792,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
