,Test,=,==,===,====,=====,======,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
5,fold_5,0.89637827,0.813570529,0.72386059,0.66312569,0.780346821,0.675,,,,,,,,,,,,,,,
6,mean,0.904627767,0.822848866,0.743054715,0.689284349,0.812423506,0.686,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.006573968,0.014319315,0.018586356,0.021376506,0.032658733,0.032672619,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,eIF4AIII_2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.889669007,0.824250314,0.722222222,0.653446845,0.729591837,0.715,,,,,,,,,,,,,,,
2,fold_2,0.88665998,0.796151192,0.69541779,0.629215714,0.754385965,0.645,,,,,,,,,,,,,,,
3,fold_3,0.88665998,0.805514429,0.703412073,0.634777484,0.740331492,0.67,,,,,,,,,,,,,,,
4,fold_4,0.88665998,0.813005019,0.709511568,0.639571161,0.73015873,0.69,,,,,,,,,,,,,,,
5,fold_5,0.888665998,0.791787955,0.694214876,0.631923763,0.773006135,0.63,,,,,,,,,,,,,,,
6,mean,0.887662989,0.806141782,0.704955706,0.637786993,0.745494832,0.67,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.001418469,0.013050486,0.011484865,0.009556616,0.018375836,0.034095454,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,ELVAL1-1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.851703407,0.753646617,0.614583333,0.523666026,0.641304348,0.59,,,,,,,,,,,,,,,
2,fold_2,0.851703407,0.748026316,0.608465608,0.518713169,0.646067416,0.575,,,,,,,,,,,,,,,
3,fold_3,0.858717435,0.795501253,0.661870504,0.573522397,0.6359447,0.69,,,,,,,,,,,,,,,
4,fold_4,0.856713427,0.751159148,0.616621984,0.531184525,0.664739884,0.575,,,,,,,,,,,,,,,
5,fold_5,0.859719439,0.768026316,0.637305699,0.551047948,0.661290323,0.615,,,,,,,,,,,,,,,
6,mean,0.855711423,0.76327193,0.627769426,0.539626813,0.649869334,0.609,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
