,Test,=,==,===,====,=====,======,,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
1,fold_1,0.864864865,0.896426783,0.638069705,0.557735409,0.687861272,0.595,,,,,,,,,,,,,,,,
2,fold_2,0.868868869,0.899893617,0.652519894,0.573697492,0.694915254,0.615,,,,,,,,,,,,,,,,
3,fold_3,0.860860861,0.897803504,0.648101266,0.56147605,0.656410256,0.64,,,,,,,,,,,,,,,,
4,fold_4,0.866866867,0.897891114,0.673218673,0.589792068,0.661835749,0.685,,,,,,,,,,,,,,,,
5,fold_5,0.868868869,0.89850438,0.650666667,0.572319834,0.697142857,0.61,,,,,,,,,,,,,,,,
6,mean,0.866066066,0.89810388,0.652515241,0.571004171,0.679633078,0.629,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.00334999,0.001256156,0.012847237,0.012538093,0.019130374,0.035249113,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,ELVAL1-A,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.827655311,0.835639098,0.537634409,0.434317229,0.581395349,0.5,,,,,,,,,,,,,,,,
2,fold_2,0.829659319,0.836666667,0.535519126,0.435138247,0.590361446,0.49,,,,,,,,,,,,,,,,
3,fold_3,0.834669339,0.836015038,0.532577904,0.440057085,0.614379085,0.47,,,,,,,,,,,,,,,,
4,fold_4,0.835671343,0.835946115,0.566137566,0.466402876,0.601123596,0.535,,,,,,,,,,,,,,,,
5,fold_5,0.825651303,0.834179198,0.567164179,0.458017103,0.564356436,0.57,,,,,,,,,,,,,,,,
6,mean,0.830661323,0.835689223,0.547806637,0.446786508,0.590323182,0.513,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.004367634,0.000923341,0.017299631,0.01455488,0.019034935,0.039623226,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,ELVAL1-M,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.826,0.86019375,0.427631579,0.361985858,0.625,0.325,,,,,,,,,,,,,,,,
2,fold_2,0.826,0.8443125,0.42,0.358333333,0.63,0.315,,,,,,,,,,,,,,,,
3,fold_3,0.837,0.86206875,0.46557377,0.407759273,0.676190476,0.355,,,,,,,,,,,,,,,,
